label,class,scientific_name
222,FIORDLAND-PENGUIN,EUDYPTES-PACHYRHYNCHUS
223,FIRE-TAILLED-MYZORNIS,MYZORNIS-PYRRHOURA
224,FLAME-BOWERBIRD,SERICULUS-ARDENS
225,FLAME-TANAGER,PIRANGA-BIDENTATA
226,FOREST-WAGTAIL,DENDRONANTHUS-INDICUS
227,FRIGATE,FREGATIDAE
228,FRILL-BACK-PIGEON,COLUMBA-LIVIA-DOMESTICA
229,GAMBELS-QUAIL,CALLIPEPLA-GAMBELII
230,GANG-GANG-COCKATOO,CALLOCEPHALON-FIMBRIATUM
231,GILA-WOODPECKER,MELANERPES-UROPYGIALIS
232,GILDED-FLICKER,COLAPTES-AURATUS
233,GLOSSY-IBIS,PLEGADIS-FALCINELLUS
234,GO-AWAY-BIRD,CORYTHAIXOIDES-CONCOLOR
235,GOLD-WING-WARBLER,VERMIVORA-CHRYSOPTERA
236,GOLDEN-BOWER-BIRD,PRIONODURA-NEWTONIANA
237,GOLDEN-CHEEKED-WARBLER,SETOPHAGA-CHRYSOPARIA
238,GOLDEN-CHLOROPHONIA,CHLOROPHONIA-CALLOPHRYS
239,GOLDEN-EAGLE,AQUILA-CHRYSAETOS
240,GOLDEN-PARAKEET,GUARUBA-GUAROUBA
241,GOLDEN-PHEASANT,CHRYSOLOPHUS-PICTUS
242,GOLDEN-PIPIT,TMETOTHYLACUS-TENELLUS
243,GOULDIAN-FINCH,ERYTHRURA-GOULDIAE
244,GRANDALA,GRANDALA-COELICOLOR
245,GRAY-CATBIRD,DUMETELLA-CAROLINENSIS
246,GRAY-KINGBIRD,TYRANNUS-DOMINICENSIS
247,GRAY-PARTRIDGE,PERDIX-PERDIX
248,GREAT-ARGUS,ARGUSIANUS-ARGU
249,GREAT-GRAY-OWL,STRIX-NEBULOSA
